filename	speaker	gender	label
r301	3	2	1
y47	4	0	1
r46A	3	2	1
p9	2	1	1
p46_I	2	1	0
r275	3	2	1
r261	3	2	1
r249	3	2	1
p106	2	1	1
p138	2	1	1
p110	2	1	1
r277	3	2	1
r263	3	2	1
r288	3	2	1
b11_I	0	0	0
p147_I	2	1	0
r303	3	2	1
y51	4	0	1
y45	4	0	1
p10	2	1	1
g35	1	1	1
y92	4	0	1
p38	2	1	1
y86	4	0	1
b86	0	0	1
b92	0	0	1
r129	3	2	1
g58_I	1	1	0
r101	3	2	1
r115	3	2	1
r12	3	2	1
b45	0	0	1
b51	0	0	1
b79	0	0	1
g2	1	1	1
g3	1	1	1
b78	0	0	1
b50	0	0	1
b44	0	0	1
r114	3	2	1
r100	3	2	1
r128	3	2	1
b93	0	0	1
b87	0	0	1
p39	2	1	1
y87	4	0	1
y93	4	0	1
g34	1	1	1
g20	1	1	1
p11	2	1	1
y44	4	0	1
y50	4	0	1
r302	3	2	1
p60_I	2	1	0
p25_I	2	1	0
r289	3	2	1
r262	3	2	1
r276	3	2	1
p163_I	2	1	0
b35_I	0	0	0
b118_I	0	0	0
p111	2	1	1
p139	2	1	1
p101	2	1	1
p115	2	1	1
p129	2	1	1
g8_I	1	1	0
r299	3	2	1
r6	3	2	1
r306	3	2	1
y54	4	0	1
y40	4	0	1
y68	4	0	1
p29	2	1	1
y83	4	0	1
b74_I	0	0	0
p15	2	1	1
r78_I	3	2	0
r110	3	2	1
b83	0	0	1
r138	3	2	1
b97	0	0	1
g45_I	1	1	0
b40	0	0	1
b15_I	0	0	0
b41	0	0	1
b69	0	0	1
b96	0	0	1
r139	3	2	1
r111	3	2	1
r105	3	2	1
r134_I	3	2	0
g31	1	1	1
g25	1	1	1
p14	2	1	1
y82	4	0	1
g24_I	1	1	0
p28	2	1	1
g19	1	1	1
y69	4	0	1
y41	4	0	1
r7	3	2	1
y55	4	0	1
r307	3	2	1
r298	3	2	1
r267	3	2	1
r273	3	2	1
y23_I	4	0	0
b90_I	0	0	0
p128	2	1	1
p114	2	1	1
p100	2	1	1
p116	2	1	1
p102	2	1	1
r265	3	2	1
r271	3	2	1
p7_I	2	1	0
r259	3	2	1
r26_I	3	2	0
y43	4	0	1
r305	3	2	1
y57	4	0	1
y80	4	0	1
y94	4	0	1
p104_I	2	1	0
g33	1	1	1
p16	2	1	1
r113	3	2	1
r107	3	2	1
b94	0	0	1
b80	0	0	1
g26_I	1	1	0
g4	1	1	1
r28	3	2	1
b57	0	0	1
r14	3	2	1
b43	0	0	1
r15	3	2	1
b42	0	0	1
b33_I	0	0	0
b56	0	0	1
r29	3	2	1
b81	0	0	1
b95	0	0	1
r106	3	2	1
r112	3	2	1
p17	2	1	1
g32	1	1	1
y81	4	0	1
y56	4	0	1
r304	3	2	1
y42	4	0	1
r258	3	2	1
r270	3	2	1
r264	3	2	1
b123_I	0	0	0
p103	2	1	1
p117	2	1	1
p132	2	1	1
p126	2	1	1
r269	3	2	1
r241	3	2	1
g6_I	1	1	0
y7_I	4	0	0
r255	3	2	1
r282	3	2	1
b47_I	0	0	0
r296	3	2	1
r309	3	2	1
r9	3	2	1
y67	4	0	1
p1	2	1	1
y73	4	0	1
p32	2	1	1
y34_I	4	0	0
y71_I	4	0	0
r137	3	2	1
b98	0	0	1
r123	3	2	1
b67	0	0	1
r30	3	2	1
r18	3	2	1
y10_I	4	0	0
r283_I	3	2	0
r19	3	2	1
b66	0	0	1
g9	1	1	1
r31	3	2	1
r25	3	2	1
b72	0	0	1
b99	0	0	1
r17_I	3	2	0
r136	3	2	1
g16	1	1	1
p27	2	1	1
y72	4	0	1
y66	4	0	1
r308	3	2	1
r8	3	2	1
p36_I	2	1	0
g17_I	1	1	0
r254	3	2	1
r268	3	2	1
y95_I	4	0	0
p127	2	1	1
p133	2	1	1
p119	2	1	1
p125	2	1	1
p131	2	1	1
p34_I	2	1	0
r256	3	2	1
r242	3	2	1
r295	3	2	1
b109_I	0	0	0
b24_I	0	0	0
b61_I	0	0	0
r281	3	2	1
y58	4	0	1
y70	4	0	1
p2	2	1	1
y64	4	0	1
p31	2	1	1
g14	1	1	1
b8_I	0	0	0
p19	2	1	1
g28_I	1	1	0
r108	3	2	1
r120	3	2	1
r33	3	2	1
b64	0	0	1
b70	0	0	1
b59	0	0	1
b71	0	0	1
r32	3	2	1
b65	0	0	1
r89_I	3	2	0
r121	3	2	1
r109	3	2	1
g29	1	1	1
g15	1	1	1
p95_I	2	1	0
r300_I	3	2	0
p30	2	1	1
y65	4	0	1
p3	2	1	1
y59	4	0	1
r280	3	2	1
r294	3	2	1
r243	3	2	1
r257	3	2	1
p130	2	1	1
p124	2	1	1
p118	2	1	1
p120	2	1	1
p134	2	1	1
p108	2	1	1
p117B	2	1	1
r253	3	2	1
r247	3	2	1
b114_I	0	0	0
r290	3	2	1
r284	3	2	1
y75	4	0	1
y61	4	0	1
y49	4	0	1
g39	1	1	1
p20	2	1	1
g11	1	1	1
r125	3	2	1
r131	3	2	1
r119	3	2	1
b49	0	0	1
p51_I	2	1	0
r36	3	2	1
r22	3	2	1
b75	0	0	1
b60	0	0	1
r37	3	2	1
r118	3	2	1
r130	3	2	1
r124	3	2	1
g10	1	1	1
p21	2	1	1
g54_I	1	1	0
g38	1	1	1
p6	2	1	1
r285	3	2	1
g94_I	1	1	0
r291	3	2	1
r246	3	2	1
r252	3	2	1
p109	2	1	1
p135	2	1	1
b58_I	0	0	0
p121	2	1	1
p137	2	1	1
p123	2	1	1
g96_I	1	1	0
r244	3	2	1
r13_I	3	2	0
r250	3	2	1
b132_I	0	0	0
r278	3	2	1
r287	3	2	1
r293	3	2	1
y29_I	4	0	0
y62	4	0	1
y76	4	0	1
p4	2	1	1
r146_I	3	2	0
p23	2	1	1
y89	4	0	1
p37	2	1	1
b89	0	0	1
r132	3	2	1
b76	0	0	1
r35	3	2	1
b62	0	0	1
g13_I	1	1	0
r34	3	2	1
b63	0	0	1
r20	3	2	1
r127_I	3	2	0
y48_I	4	0	0
r133	3	2	1
y3_I	4	0	0
y88	4	0	1
p22	2	1	1
g37_I	1	1	0
y77	4	0	1
p5	2	1	1
y63	4	0	1
r292	3	2	1
r286	3	2	1
r279	3	2	1
r251	3	2	1
r245	3	2	1
y30_I	4	0	0
p122	2	1	1
p136	2	1	1
b131	0	0	1
b125	0	0	1
p151	2	1	1
b119	0	0	1
p145	2	1	1
g91_I	1	1	0
r222	3	2	1
r236	3	2	1
b9_I	0	0	0
r104_I	3	2	0
y38	4	0	1
p92	2	1	1
p8_I	2	1	0
g74	1	1	1
p45	2	1	1
y96_I	4	0	0
g60	1	1	1
p79	2	1	1
g48	1	1	1
b108_I	0	0	0
r168	3	2	1
r90	3	2	1
r154	3	2	1
r140	3	2	1
r47	3	2	1
r53	3	2	1
r197	3	2	1
b7	0	0	1
b38	0	0	1
p35_I	2	1	0
b6	0	0	1
b39	0	0	1
r182	3	2	1
r52	3	2	1
p112_I	2	1	0
r141	3	2	1
r155	3	2	1
g5_I	1	1	0
r91	3	2	1
r169	3	2	1
r85	3	2	1
g49	1	1	1
p78	2	1	1
g61	1	1	1
p50	2	1	1
p44	2	1	1
g75	1	1	1
g30_I	1	1	0
y11	4	0	1
p93	2	1	1
p87	2	1	1
y39	4	0	1
r237	3	2	1
r223	3	2	1
p18A	2	1	1
p150	2	1	1
b124	0	0	1
b130	0	0	1
b126	0	0	1
p146	2	1	1
p152	2	1	1
r209	3	2	1
r235	3	2	1
r221	3	2	1
y35_I	4	0	0
p91	2	1	1
r122_I	3	2	0
p85	2	1	1
y13	4	0	1
y6_I	4	0	0
g7_I	1	1	0
g88	1	1	1
p52	2	1	1
p155_I	2	1	0
g63	1	1	1
r266_I	3	2	0
g77	1	1	1
r93	3	2	1
r87	3	2	1
r143	3	2	1
r157	3	2	1
r50	3	2	1
r44	3	2	1
b13	0	0	1
r180	3	2	1
b4	0	0	1
r194	3	2	1
r79	3	2	1
r195	3	2	1
r181	3	2	1
b27_I	0	0	0
b5	0	0	1
r45	3	2	1
b12	0	0	1
r51	3	2	1
r156	3	2	1
r92	3	2	1
p47	2	1	1
g76	1	1	1
g62	1	1	1
p53	2	1	1
g89	1	1	1
y12	4	0	1
p84	2	1	1
p90	2	1	1
r220	3	2	1
r234	3	2	1
r208	3	2	1
p18B	2	1	1
r16_I	3	2	0
p153	2	1	1
b127	0	0	1
p143	2	1	1
p157	2	1	1
b86B_I	0	0	0
p33_I	2	1	0
g12_I	1	1	0
r230	3	2	1
y28_I	4	0	0
r224	3	2	1
r218	3	2	1
y16	4	0	1
p94	2	1	1
p80	2	1	1
p57	2	1	1
g66	1	1	1
g72	1	1	1
p43	2	1	1
r152	3	2	1
r96	3	2	1
r69	3	2	1
b1	0	0	1
r185	3	2	1
r191	3	2	1
r55	3	2	1
b16	0	0	1
r41	3	2	1
b82_I	0	0	0
b17	0	0	1
r40	3	2	1
r54	3	2	1
r190	3	2	1
y74_I	4	0	0
r68	3	2	1
r184	3	2	1
r97	3	2	1
r153	3	2	1
b117_I	0	0	0
r147	3	2	1
p42	2	1	1
g73	1	1	1
g67	1	1	1
p56	2	1	1
p81	2	1	1
g98	1	1	1
r219	3	2	1
r231	3	2	1
r126_I	3	2	0
b122	0	0	1
p156	2	1	1
p142	2	1	1
p154	2	1	1
b120	0	0	1
r46B_I	3	2	0
r227	3	2	1
r233	3	2	1
b115_I	0	0	0
y15	4	0	1
p83	2	1	1
p97	2	1	1
g59	1	1	1
p68	2	1	1
g71	1	1	1
p40	2	1	1
y8	4	0	1
p54	2	1	1
g65	1	1	1
r151	3	2	1
r145	3	2	1
r81	3	2	1
r179	3	2	1
r95	3	2	1
r192	3	2	1
b29	0	0	1
r186	3	2	1
b2	0	0	1
r42	3	2	1
r56	3	2	1
r57	3	2	1
r43	3	2	1
r187	3	2	1
y17_I	4	0	0
b3	0	0	1
b28	0	0	1
r193	3	2	1
r178	3	2	1
r94	3	2	1
r144	3	2	1
r150	3	2	1
p55	2	1	1
y9	4	0	1
p41	2	1	1
g70	1	1	1
p69	2	1	1
p96	2	1	1
p82	2	1	1
y14	4	0	1
r232	3	2	1
r226	3	2	1
b21_I	0	0	0
b121	0	0	1
p141	2	1	1
